name,council,executive,council_website
Kevin Mack,Albury City Council,Mayor,http://www.alburycity.nsw.gov.au
Ross Jackson,Albury City Council,deputy mayor,http://www.alburycity.nsw.gov.au
Daryl Betteridge,Albury City Council,,http://www.alburycity.nsw.gov.au
Darren Cameron,Albury City Council,,http://www.alburycity.nsw.gov.au
Graham Docksey,Albury City Council,,http://www.alburycity.nsw.gov.au
Alice Glachan,Albury City Council,,http://www.alburycity.nsw.gov.au
Patricia Gould,Albury City Council,,http://www.alburycity.nsw.gov.au
David Thurley,Albury City Council,,http://www.alburycity.nsw.gov.au
Henk van de Ven,Albury City Council,,http://www.alburycity.nsw.gov.au
Herman Beyersdorf,Armidale Dumaresq Council,deputy mayor,http://www.armidale.nsw.gov.au
Jenny Bailey,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Laurie Bishop,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Colin Gadd,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Christopher Halligan,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Jim Maher,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Andrew Murat,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Margaret O'Connor,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Peter O'Donohue,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
Rob Richardson,Armidale Dumaresq Council,,http://www.armidale.nsw.gov.au
